<cod>
COS_AE
COS_AT
COS_BE
COS_BO
COS_BR
COS_CA
COS_CL
COS_CN
COS_CO
COS_DE
COS_EC
COS_ES
COS_FR
COS_GB
COS_IT
COS_JP
COS_MX
COS_NL
COS_PA
COS_PE
COS_PY
COS_SE
COS_SG
COS_US
COS_UY
COS_VE
SBM_AE
SBM_AL
SBM_AO
SBM_AU
SBM_BD
SBM_BE
SBM_BG
SBM_BN
SBM_BY
SBM_CD
SBM_CG
SBM_CH
SBM_CI
SBM_CL
SBM_CM
SBM_CN
SBM_CO
SBM_CU
SBM_CY
SBM_DE
SBM_DK
SBM_DO
SBM_DZ
SBM_EC
SBM_EG
SBM_ES
SBM_FR
SBM_GB
SBM_GE
SBM_GH
SBM_GR
SBM_GT
SBM_HK
SBM_HN
SBM_HR
SBM_ID
SBM_IE
SBM_IL
SBM_IN
SBM_IQ
SBM_IR
SBM_IT
SBM_JM
SBM_JO
SBM_JP
SBM_KR
SBM_LB
SBM_LR
SBM_LT
SBM_LV
SBM_LY
SBM_MA
SBM_MH
SBM_MK
SBM_ML
SBM_MM
SBM_MT
SBM_MU
SBM_MX
SBM_MY
SBM_MZ
SBM_NG
SBM_NI
SBM_NL
SBM_NZ
SBM_OM
SBM_PA
SBM_PE
SBM_PH
SBM_PK
SBM_PL
SBM_PR
SBM_PT
SBM_PY
SBM_RO
SBM_RS
SBM_RU
SBM_SA
SBM_SG
SBM_SI
SBM_SN
SBM_SR
SBM_SV
SBM_SY
SBM_TH
SBM_TN
SBM_TR
SBM_TW
SBM_US
SBM_UY
SBM_UZ
SBM_VE
SBM_VN
SBM_YE
SBM_ZA
SBO_AE
SBO_AO
SBO_AU
SBO_BB
SBO_BD
SBO_BE
SBO_BR
SBO_CL
SBO_CN
SBO_CO
SBO_CR
SBO_CU
SBO_DE
SBO_DK
SBO_DO
SBO_DZ
SBO_EC
SBO_EG
SBO_ES
SBO_FI
SBO_FJ
SBO_FR
SBO_GB
SBO_GE
SBO_GR
SBO_GT
SBO_HK
SBO_HR
SBO_ID
SBO_IL
SBO_IN
SBO_IQ
SBO_IR
SBO_IT
SBO_JM
SBO_JP
SBO_KE
SBO_KR
SBO_KW
SBO_LB
SBO_LR
SBO_MA
SBO_MG
SBO_MU
SBO_MX
SBO_MY
SBO_MZ
SBO_NG
SBO_NI
SBO_NL
SBO_NO
SBO_NP
SBO_NZ
SBO_OM
SBO_PA
SBO_PE
SBO_PK
SBO_PT
SBO_RO
SBO_RU
SBO_RW
SBO_SG
SBO_SN
SBO_SV
SBO_SY
SBO_TH
SBO_TN
SBO_TR
SBO_TT
SBO_TW
SBO_TZ
SBO_US
SBO_UY
SBO_VE
SBO_VN
SBO_ZA
SBS_AE
SBS_BD
SBS_BE
SBS_BR
SBS_CA
SBS_CL
SBS_CN
SBS_CO
SBS_CR
SBS_CU
SBS_EG
SBS_ES
SBS_GB
SBS_GR
SBS_HK
SBS_ID
SBS_IN
SBS_IR
SBS_IT
SBS_JP
SBS_KR
SBS_LB
SBS_MA
SBS_MY
SBS_NG
SBS_NP
SBS_PA
SBS_PE
SBS_PH
SBS_PK
SBS_PT
SBS_PY
SBS_RU
SBS_SA
SBS_SG
SBS_SY
SBS_TH
SBS_TN
SBS_TR
SBS_TW
SBS_US
SBS_UY
SBS_VE
SBS_VN
SBS_ZA
WHM_AE
WHM_AO
WHM_BE
WHM_BO
WHM_BR
WHM_CA
WHM_CG
WHM_CI
WHM_CL
WHM_CM
WHM_CO
WHM_CR
WHM_CU
WHM_DE
WHM_DJ
WHM_DO
WHM_EC
WHM_ER
WHM_ES
WHM_FR
WHM_GB
WHM_GH
WHM_GM
WHM_GQ
WHM_GT
WHM_HK
WHM_HN
WHM_HT
WHM_ID
WHM_IT
WHM_JP
WHM_KR
WHM_LY
WHM_MW
WHM_MX
WHM_MY
WHM_MZ
WHM_PA
WHM_PE
WHM_PH
WHM_PY
WHM_RU
WHM_SG
WHM_SL
WHM_SV
WHM_TD
WHM_TH
WHM_TT
WHM_TW
WHM_US
WHM_UY
WHM_VE
WHM_ZA
WHM_ZW
WHS_AE
WHS_BD
WHS_BE
WHS_BF
WHS_BH
WHS_BI
WHS_BO
WHS_BR
WHS_CA
WHS_CD
WHS_CG
WHS_CH
WHS_CI
WHS_CL
WHS_CM
WHS_CO
WHS_CR
WHS_CU
WHS_CV
WHS_DE
WHS_DJ
WHS_DZ
WHS_EC
WHS_EG
WHS_ES
WHS_ET
WHS_FR
WHS_GA
WHS_GB
WHS_GH
WHS_GM
WHS_GN
WHS_ID
WHS_IL
WHS_KE
WHS_KR
WHS_MA
WHS_MG
WHS_ML
WHS_MR
WHS_MU
WHS_MW
WHS_MX
WHS_MY
WHS_MZ
WHS_NG
WHS_NL
WHS_NO
WHS_NZ
WHS_OM
WHS_PE
WHS_PH
WHS_PY
WHS_RW
WHS_SA
WHS_SD
WHS_SN
WHS_TH
WHS_TN
WHS_TW
WHS_TZ
WHS_UG
WHS_US
WHS_UY
WHS_VE
WHS_VN
WHS_YE
WHS_ZA
WHS_ZW

